WKT,class_dbt,nome_dbt,tipo_dbt,dest_ind,sup_mq
"MULTIPOLYGON (((485903.2203 5056608.1945,485902.8773 5056608.0345,485902.3095 5056609.5569,485905.6159 5056611.0102,485906.2133 5056609.6164,485903.2203 5056608.1945)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"6"
"MULTIPOLYGON (((486225.8648 5056320.974,486219.6224 5056317.8913,486218.7125 5056319.7315,486224.9531 5056322.8176,486225.8648 5056320.974)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"14"
"MULTIPOLYGON (((486985.2854 5056989.9293,486964.1457 5056980.3441,486963.6398 5056981.4301,486984.6785 5056991.2309,486985.2854 5056989.9293)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"31"
"MULTIPOLYGON (((487299.72 5056185.4739,487289.6216 5056182.3466,487289.1283 5056183.9133,487305.5455 5056189.0904,487314.4552 5056191.9,487314.9899 5056190.2025,487304.6002 5056186.9851,487299.72 5056185.4739)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"45"
"MULTIPOLYGON (((486151.486 5058071.5573,486149.338 5058071.2213,486148.197 5058075.2873,486145.3772 5058086.5451,486146.9162 5058086.5841,486147.5962 5058085.6971,486150.3771 5058075.4592,486151.486 5058071.5573)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"32"
"MULTIPOLYGON (((485516.9501 5056430.4083,485516.076 5056430.2174,485515.7974 5056430.7957,485516.9501 5056430.4083)),((485624.4436 5056558.5256,485607.0958 5056549.7218,485606.9338 5056550.0358,485603.4888 5056548.2658,485603.7468 5056547.7618,485571.989 5056531.918,485559.0551 5056525.5621,485541.1473 5056516.7603,485538.3603 5056515.2013,485506.0805 5056499.0665,485505.4975 5056498.7786,485504.1375 5056501.3405,485503.5125 5056502.0825,485501.8176 5056502.0715,485490.5286 5056492.8176,485502.6043 5056461.542,485509.1356 5056444.6257,485508.0961 5056446.7836,485503.7386 5056456.3382,485494.0651 5056478.7859,485488.4277 5056493.5826,485488.9117 5056494.8646,485500.2166 5056502.9815,485502.3416 5056503.5984,485504.0206 5056503.0435,485505.1616 5056501.6145,485505.6306 5056500.6725,485573.4891 5056534.704,485637.0126 5056566.5586,485637.2856 5056565.0425,485624.4436 5056558.5256)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"350"
"MULTIPOLYGON (((486170.9386 5056990.8339,486166.0716 5056988.881,486165.6576 5056989.897,486165.2899 5056990.8204,486170.1736 5056992.7409,486170.9386 5056990.8339)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"11"
"MULTIPOLYGON (((487248.9234 5055633.23,487247.7148 5055633.0015,487243.4989 5055649.1034,487243.395 5055649.5014,487244.5992 5055649.7346,487244.8526 5055648.7787,487248.9234 5055633.23)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"21"
"MULTIPOLYGON (((485504.1624 5056681.8115,485508.6703 5056671.3316,485505.5684 5056672.4056,485493.3796 5056702.5813,485498.1936 5056704.4242,485504.1154 5056689.1904,485506.5604 5056682.9015,485504.1624 5056681.8115)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"140"
"MULTIPOLYGON (((485899.9638 5055695.0606,485897.1338 5055695.0256,485849.7574 5055722.7134,485849.7764 5055723.7954,485855.2023 5055724.7844,485900.7398 5055696.6286,485901.8218 5055696.6106,485899.9638 5055695.0606)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"218"
"MULTIPOLYGON (((487182.9913 5057338.0114,487181.3906 5057337.1264,487177.8661 5057343.2697,487179.3063 5057344.1085,487182.9913 5057338.0114)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"12"
"MULTIPOLYGON (((486349.6226 5057763.0644,486347.5676 5057761.0284,486341.3417 5057767.3104,486344.2007 5057770.1343,486343.3027 5057771.0443,486346.1377 5057773.8573,486348.3453 5057771.6332,486344.718 5057768.0096,486349.6226 5057763.0644)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"40"
"MULTIPOLYGON (((486546.0923 5057921.8105,486544.8802 5057921.0895,486542.517 5057924.8496,486541.9896 5057925.6887,486543.2576 5057926.5332,486546.0923 5057921.8105)))",ac_ped,Area_di_circolazione_pedonale,su sede stradale,trasporto - pedonale/ciclabile,"8"
"MULTIPOLYGON (((486119.75 5057533.1146,486114.1706 5057529.6458,486112.4741 5057532.1961,486118.146 5057535.6801,486119.75 5057533.1146)))",ac_ped,Area_di_circolazione_pedonale,non in sede stradale,trasporto - pedonale/ciclabile,"20"
